Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
7/28/14,Laura's Home,2014-07-28T00:00:00-05:00,2014-07-28T08:42:30-05:00,31350,38.9219057145,-77.0772744833,Home,
7/28/14,"NTN24-Washington, DC",2014-07-28T09:17:38-05:00,2014-07-28T09:26:43-05:00,545,38.900182458396,-77.03193625222163,Office,http://foursquare.com/venue/4ec5b5509a52756c53a0be9c
7/28/14,Busboys and Poets,2014-07-28T09:53:48-05:00,2014-07-28T12:00:06-05:00,7578,38.91795996865189,-77.03186315579289,American Restaurant,http://foursquare.com/venue/44196facf964a52026311fe3
7/28/14,Ben's Chili Bowl,2014-07-28T12:06:31-05:00,2014-07-28T12:38:17-05:00,1906,38.91704586950935,-77.02884929536049,Hot Dog Joint,http://foursquare.com/venue/41478600f964a520c01c1fe3
7/28/14,"NTN24-Washington, DC",2014-07-28T13:07:58-05:00,2014-07-28T13:59:44-05:00,3106,38.900182458396,-77.03193625222163,Office,http://foursquare.com/venue/4ec5b5509a52756c53a0be9c
7/28/14,"NTN24-Washington, DC",2014-07-28T14:12:48-05:00,2014-07-28T15:36:27-05:00,5019,38.900182458396,-77.03193625222163,Office,http://foursquare.com/venue/4ec5b5509a52756c53a0be9c
7/28/14,Le Bar @ Sofitel DC,2014-07-28T15:41:00-05:00,2014-07-28T17:45:49-05:00,7489,38.90027258571429,-77.033628,Bar,http://foursquare.com/venue/4b761135f964a5206d3a2ee3
7/28/14,"NTN24-Washington, DC",2014-07-28T17:51:21-05:00,2014-07-28T17:56:17-05:00,296,38.900182458396,-77.03193625222163,Office,http://foursquare.com/venue/4ec5b5509a52756c53a0be9c
7/28/14,Trader Joe's,2014-07-28T18:29:23-05:00,2014-07-28T18:56:18-05:00,1615,38.90410567190644,-77.05326165317148,Grocery Store,http://foursquare.com/venue/4a04a703f964a52016721fe3
7/28/14,Laura's Home,2014-07-28T19:19:37-05:00,2014-07-29T00:00:00-05:00,16823,38.9219057145,-77.0772744833,Home,
